Animal,Drug,DateIndex,StimIntensity,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial20,Trial21,Trial22,Trial23,Trial24,Trial25,Trial26,Trial27,Trial28,Trial29,Trial30
ZZ14,Psilocybin stim/resp hour 24,22121-001,50,3.89714296034072e-05,2.22507223952562e-05,1.91729195648804e-05,1.31713386508636e-05,2.54821970884223e-05,1.44749001265154e-05,2.01904149434995e-05,1.14303284135531e-05,1.76265493792016e-05,1.18391180876642e-05,1.22853616630891e-05,4.80047456221655e-05,1.8133272533305e-05,2.61348577623721e-05,2.22751641558716e-05,-3.86022111342754e-06,1.5400793927256e-05,2.31648300541565e-06,2.02385908778524e-05,2.72033394139726e-05,2.98050072160549e-05,-2.64035224972758e-06,3.41895429301076e-05,3.15801335091237e-05,1.33916482809582e-05,0,0,0,0,0
ZZ14,Psilocybin stim/resp hour 24,22121-001,100,7.71498889662325e-06,-8.28993142931722e-06,1.87363493751036e-05,1.75212226167787e-05,2.62930952885654e-05,4.04887987315306e-06,1.66365134646185e-06,1.44349860420334e-05,7.67419624025933e-06,4.89776175527368e-06,1.57629838213325e-05,-5.05107755088829e-06,4.03460217057727e-05,3.82410471502226e-05,-9.12176574274781e-07,9.65203980740625e-06,1.87458444997901e-05,1.09610537037952e-05,3.04089699056931e-05,2.9125625587767e-05,2.90937987301731e-05,1.12421976155019e-05,-3.33309799316339e-06,1.24845710161026e-05,-3.05040903185727e-05,0,0,0,0,0
ZZ14,Psilocybin stim/resp hour 24,22121-001,150,6.53046081424691e-05,5.05329153384082e-05,4.27252743975259e-05,6.95207054377533e-05,5.1100487326039e-05,3.32958152284846e-05,7.95467203715816e-05,8.34614402265288e-05,6.02983709541149e-05,6.55498806736432e-05,0.00010348430078011,4.80276030430105e-05,6.2916922615841e-05,8.97090285434388e-06,5.72140561416745e-05,4.35090987593867e-05,5.40567889402155e-05,5.60075532121118e-05,4.11854016419966e-05,5.11131329403725e-05,6.68072098051198e-05,4.90985403303057e-05,4.95430358569138e-05,6.64938852423802e-05,7.64936994528398e-05,0,0,0,0,0
ZZ14,Psilocybin stim/resp hour 24,22121-001,200,8.73592944117263e-05,3.08861599478405e-05,8.02732247393578e-05,4.04610073019285e-05,8.21320427348837e-05,0.000109225657070056,4.44233810412697e-05,6.66967898723669e-05,7.8493874752894e-05,5.65002083021682e-05,6.02871186856646e-05,6.66823762003332e-05,5.4917974921409e-05,4.79759110021405e-05,5.14960884174798e-05,8.58183702803217e-05,6.78642536513507e-05,1.35500686155865e-05,9.94526490103453e-05,0.000108024614746682,7.547129644081e-05,9.09081136342138e-05,6.96852657711133e-05,9.49856621446088e-05,9.5735551440157e-05,0,0,0,0,0
ZZ14,Psilocybin stim/resp hour 24,22121-001,300,7.76585511630401e-05,9.72353300312534e-05,7.1784968895372e-05,5.87219292356167e-05,9.72260240814649e-05,0.000113849484478123,9.11836468731053e-05,5.28253149241209e-05,8.4089842857793e-05,0.000114415823190939,6.75090923323296e-05,8.04020965006202e-05,0.000120025491924025,9.33972769416869e-05,3.75178860849701e-05,7.30962565285154e-05,5.0626287702471e-05,7.35920693841763e-05,0.000122090903460048,8.29591153888032e-05,0.000153283501276746,9.57670054049231e-05,5.33483980689198e-05,9.91335255093873e-05,8.16247920738533e-05,0,0,0,0,0
ZZ14,Psilocybin stim/resp hour 24,22121-001,400,7.92764840298332e-05,8.61531370901503e-05,6.48914210614748e-05,8.976773096947e-05,0.000128097221022472,0.000135072012199089,8.90674127731472e-05,7.02361357980408e-05,5.99584964220412e-05,5.06737633259036e-05,9.95342270471156e-05,7.83833020250313e-05,0.000116110066301189,9.00731392903253e-05,7.78292742324993e-05,8.74313700478524e-05,0.000128129046061076,0.000118210453365464,0.000126963685033843,0.00013373204274103,8.88077192939818e-05,0.000109442094981205,5.21909423696343e-05,8.93376563908532e-05,0.000112145760795102,0,0,0,0,0
ZZ14,Psilocybin stim/resp hour 24,22121-001,500,5.71727432543412e-05,9.49724781094119e-05,8.90927476575598e-05,6.52891394565813e-05,8.71774827828631e-05,9.10967864911072e-05,0.000100279030448291,0.000107811341877095,8.67425042088144e-05,5.3023461077828e-05,8.41724759084173e-05,0.000109011700260453,8.80903608049266e-05,4.08068590331823e-05,4.84641786897555e-05,9.94871152215637e-05,9.0296431153547e-05,5.34271603100933e-05,7.65065415180288e-05,7.35133071430027e-05,7.84443036536686e-05,9.27386281546205e-05,6.01656211074442e-05,8.99312435649335e-05,9.5216695626732e-05,0,0,0,0,0
ZZ14,Psilocybin stim/resp hour 24,22121-001,600,0.000100852033938281,0.000105863386124838,6.03317748755217e-05,8.60787549754605e-05,9.63690399657935e-05,8.12719081295654e-05,8.13466249383055e-05,-1.18523066703347e-05,0.000103383732493967,0.00013670242333319,0.000109595239337068,0.0001553582114866,0.000111136876512319,2.65058424702147e-05,9.95129666989669e-05,9.54981878749095e-05,8.01949863671325e-05,7.2349350375589e-05,0.000150037260027602,7.66083467169665e-05,8.75630721566267e-05,6.86234780005179e-05,4.90839520352893e-05,6.8497218308039e-05,9.70663604675792e-05,0,0,0,0,0
ZZ15,Psilocybin stim/resp Baseline,22216-006,1,1.41408345371019e-05,1.09621087176492e-05,-5.69318717680289e-06,3.31375895257224e-06,1.91841854757513e-06,1.23236895888112e-05,-3.68650512427848e-06,8.43674479256151e-06,1.45582380355336e-05,1.71059218700975e-06,3.83788892577286e-06,3.78866025130264e-06,3.39076996169752e-06,4.31648186349776e-06,-1.01591376733268e-06,8.45626436785096e-06,1.70790317497449e-05,2.0220653823344e-05,9.741886970005e-06,2.8399126676959e-06,6.96193365001818e-06,8.7859177710925e-07,1.31199985844432e-05,9.39955157264194e-07,1.27890980365919e-05,0,0,0,0,0
ZZ15,Psilocybin stim/resp Baseline,22216-006,50,1.41070759127615e-05,1.34591618916602e-05,8.96246001502732e-06,7.05529510014458e-06,6.2434992287308e-07,6.78347396387835e-06,1.63752065418521e-05,1.61445259436732e-05,8.96421624929644e-06,-1.84685359272407e-06,7.81643757363781e-06,2.57898682320956e-06,-1.04228565760422e-05,4.91112132294802e-06,2.61963677417043e-08,1.95882166735828e-05,3.55604424839839e-06,1.61531370395096e-05,7.92931768955896e-06,1.1808704584837e-05,1.14349013529136e-05,2.50018474616809e-05,7.09819596522721e-06,1.67222824529745e-05,6.28676480118884e-06,0,0,0,0,0
